Dátum;Kategórianév;Terméknév;Egységár;Mennyiség;Érték;Vevõnév;Vevõ megye;Vevõ város;Bolt megye;Bolt város;Boltnév
08/02/2017;Játék;Labda;500,00 Ft;5; 2 500 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
08/07/2017;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
08/08/2017;Iroda;Tolll;400,00 Ft;4; 1 600 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
08/14/2017;Játék;Labda;500,00 Ft;20; 10 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
08/19/2017;Iroda;Füzet;200,00 Ft;7; 1 400 Ft ;Szabó Rt;Pest;Monor;Heves;Hatvan;1. ABC
08/23/2017;Iroda;Füzet;200,00 Ft;6; 1 200 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
08/23/2017;Iroda;Füzet;200,00 Ft;6; 1 200 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;2. ABC
08/25/2017;Iroda;Tolll;400,00 Ft;;;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
09/07/2017;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
09/06/2017;Iroda;Füzet;200,00 Ft;5; 1 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
09/03/2017;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
09/07/2017;Iroda;Toll;400,00 Ft;11; 4 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
09/12/2017;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
09/14/2017;Kert;Kanna;800,00 Ft;7; 5 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
09/14/2017;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
09/17/2017;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
09/30/2017;Iroda;Füzet;200,00 Ft;13; 2 600 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
10/04/2017;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
10/10/2017;Kert;Gereblye;700,00 Ft;8; 5 600 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;2. ABC
10/10/2017;Kert;Gereblye;700,00 Ft;8; 5 600 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;2. ABC
10/10/2017;Játék;Labda;500,00 Ft;10; 5 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
10/31/2017;Iroda;Toll;400,00 Ft;12; 4 800 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
11/02/2017;Iroda;Toll;400,00 Ft;7; 2 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
11/07/2017;Kert;Kapa;800,00 Ft;8; 6 400 Ft ;Szabó Rt;Pest;Monor;Pest;Gödöllõ;2. ABC
11/08/2017;Játék;Ugrókötél;800,00 Ft;9; 7 200 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
11/14/2017;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
11/19/2017;Kert;Gereblye;;9;;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
11/23/2017;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
11/23/2017;Iroda;Tolll;400,00 Ft;6; 2 400 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Eger;1. ABC
11/25/2017;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
12/07/2017;Játék;Labda;500,00 Ft;;;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
12/06/2017;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
12/03/2017;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
12/07/2017;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
12/12/2017;Kert;Gereblye;700,00 Ft;9; 6 300 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
12/14/2017;Játék;Kártya;500,00 Ft;7; 3 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
